Row Labels,Average of average-similarity,,,similarity-threshold,Average-Average-similarity
0,0.500668572,,,0,0.500668572
0.02,0.509942488,,,0.02,0.509942488
0.04,0.507335598,,,0.04,0.507335598
0.06,0.509607106,,,0.06,0.509607106
0.08,0.512222421,,,0.08,0.512222421
0.1,0.506498068,,,0.1,0.506498068
0.12,0.511363262,,,0.12,0.511363262
0.14,0.530398239,,,0.14,0.530398239
0.16,0.553877119,,,0.16,0.553877119
0.18,0.576160136,,,0.18,0.576160136
0.2,0.573269597,,,0.2,0.573269597
0.22,0.580031295,,,0.22,0.580031295
0.24,0.583292131,,,0.24,0.583292131
0.26,0.685282273,,,0.26,0.685282273
0.28,0.688059942,,,0.28,0.688059942
0.3,0.744874871,,,0.3,0.744874871
0.32,0.75184723,,,0.32,0.75184723
0.34,0.766773241,,,0.34,0.766773241
0.36,0.76617053,,,0.36,0.76617053
0.38,0.830156786,,,0.38,0.830156786
0.4,0.828049148,,,0.4,0.828049148
0.42,0.83081018,,,0.42,0.83081018
0.44,0.873401069,,,0.44,0.873401069
0.46,0.873736515,,,0.46,0.873736515
0.48,0.874377134,,,0.48,0.874377134
0.5,0.872149579,,,0.5,0.872149579
0.52,0.940570971,,,0.52,0.940570971
0.54,0.943740946,,,0.54,0.943740946
0.56,0.943549182,,,0.56,0.943549182
0.58,0.974874021,,,0.58,0.974874021
0.6,0.974960919,,,0.6,0.974960919
0.62,0.979009181,,,0.62,0.979009181
0.64,0.98073187,,,0.64,0.98073187
0.66,0.981618379,,,0.66,0.981618379
0.68,0.995467637,,,0.68,0.995467637
0.7,0.994932993,,,0.7,0.994932993
0.72,0.998420754,,,0.72,0.998420754
0.74,0.99862748,,,0.74,0.99862748
0.76,0.511557331,,,0.76,0.511557331
0.78,0.512416309,,,0.78,0.512416309
0.8,0.510698776,,,0.8,0.510698776
Grand Total,0.745891007,,,,
